City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Belaya Gora,RU,2021-12-02 09:10:25,68.5333,146.4167,-46.25,100,81,1.95
97,Klaksvik,FO,2021-12-02 09:10:26,62.2266,-6.589,31.12,58,100,9.37
98,Campbell River,CA,2021-12-02 09:10:26,50.0163,-125.2446,44.13,100,100,7.94
99,Hithadhoo,MV,2021-12-02 09:10:27,-0.6,73.0833,82.65,74,14,8.77
100,Port Hedland,AU,2021-12-02 09:10:27,-20.3167,118.5667,98.65,30,56,25.32
101,Baykit,RU,2021-12-02 09:10:28,61.67,96.37,5.27,99,100,2.17
102,Safranbolu,TR,2021-12-02 09:10:29,41.2508,32.6942,49.73,64,21,2.77
103,Santiago Del Estero,AR,2021-12-02 09:10:29,-27.7951,-64.2615,69.17,48,47,5.12
104,Den Helder,NL,2021-12-02 09:10:30,52.9599,4.7593,42.78,87,75,8.05
105,Kapuskasing,CA,2021-12-02 09:06:12,49.4169,-82.4331,31.91,99,100,3.53
106,Victoria,HK,2021-12-02 09:09:31,22.2855,114.1577,71.04,34,5,7.0
107,Provideniya,RU,2021-12-02 09:10:32,64.3833,-173.3,-2.74,78,70,7.45
108,Tashigang,BT,2021-12-02 09:10:32,27.3331,91.5542,70.75,49,83,5.99
109,Tiksi,RU,2021-12-02 09:10:33,71.6872,128.8694,-29.74,100,68,3.0
110,Fonte Boa,BR,2021-12-02 09:10:33,-2.4959,-66.2662,71.24,99,100,2.75
111,Krasnokholm,RU,2021-12-02 09:10:34,51.5979,54.1567,31.87,76,8,10.92
112,Laizhou,CN,2021-12-02 09:10:35,37.1717,119.9214,42.24,56,0,12.1
113,Vaini,TO,2021-12-02 09:10:36,-21.2,-175.2,77.16,83,20,8.05
114,Avarua,CK,2021-12-02 09:10:36,-21.2078,-159.775,77.05,83,40,19.57
115,Nome,US,2021-12-02 09:10:37,64.5011,-165.4064,-9.33,64,1,8.05
116,Haines Junction,CA,2021-12-02 09:10:37,60.7522,-137.5108,8.71,97,100,2.73
117,New Norfolk,AU,2021-12-02 09:10:38,-42.7826,147.0587,61.92,87,99,1.01
118,Salinas,US,2021-12-02 09:10:39,36.6777,-121.6555,58.96,63,1,0.0
119,Dikson,RU,2021-12-02 09:10:39,73.5069,80.5464,-9.36,96,100,12.35
120,Rantepao,ID,2021-12-02 09:10:40,-2.9701,119.8978,74.17,90,99,1.83
121,Sal,JO,2021-12-02 09:10:40,32.5694,35.9119,59.61,55,12,11.16
122,Tautira,PF,2021-12-02 09:10:41,-17.7333,-149.15,80.62,78,100,19.3
123,Konstantinovka,RU,2021-12-02 09:10:42,49.6167,127.9833,1.09,93,100,5.3
124,Pyay,MM,2021-12-02 09:10:43,18.8167,95.2167,84.6,52,72,6.15
125,Geraldton,AU,2021-12-02 09:10:43,-28.7667,114.6,72.01,64,40,28.77
126,Kahului,US,2021-12-02 09:10:44,20.8947,-156.47,74.84,85,1,0.0
127,Bondo,CD,2021-12-02 09:10:44,3.8146,23.6866,88.95,49,64,2.91
128,San Cristobal,VE,2021-12-02 09:10:45,7.7669,-72.225,64.02,89,94,1.48
129,Poso,ID,2021-12-02 09:10:46,-1.3959,120.7524,82.74,75,95,1.28
130,Soyo,AO,2021-12-02 09:10:46,-6.1349,12.3689,81.99,75,87,3.04
131,Port Elizabeth,ZA,2021-12-02 09:09:01,-33.918,25.5701,68.09,68,99,17.02
132,Kochi,IN,2021-12-02 09:10:48,9.9399,76.2602,85.98,72,47,10.2
133,Te Anau,NZ,2021-12-02 09:10:48,-45.4167,167.7167,57.6,95,100,3.15
134,Kamloops,CA,2021-12-02 09:10:49,50.6665,-120.3192,50.58,58,100,5.01
135,Hohhot,CN,2021-12-02 09:10:49,40.8106,111.6522,29.07,37,2,4.43
136,Kaitangata,NZ,2021-12-02 09:10:50,-46.2817,169.8464,56.82,92,100,7.94
137,Palu,ID,2021-12-02 09:07:28,-0.8917,119.8707,84.49,76,87,1.92
138,Pochutla,MX,2021-12-02 09:11:52,15.7432,-96.4661,71.82,58,17,3.44
139,Aksarka,RU,2021-12-02 09:11:52,66.5606,67.7975,1.36,96,100,17.65
140,Namatanai,PG,2021-12-02 09:11:53,-3.6667,152.4333,81.59,77,97,4.63
141,Kichera,RU,2021-12-02 09:11:53,55.9375,110.0997,6.76,86,99,0.94
142,Mackay,AU,2021-12-02 09:11:54,-21.15,149.2,81.05,77,29,7.54
143,Rorvik,NO,2021-12-02 09:11:55,64.8621,11.2373,15.91,86,20,3.44
144,Cabedelo,BR,2021-12-02 09:11:56,-6.9811,-34.8339,79.47,74,99,7.49
145,Chuy,UY,2021-12-02 09:11:57,-33.6971,-53.4616,61.3,77,76,4.0
146,Doha,QA,2021-12-02 09:08:32,25.2867,51.5333,82.71,56,20,10.36
147,San Patricio,US,2021-12-02 09:11:58,28.017,-97.5169,67.84,94,82,4.85
148,Kedrovyy,RU,2021-12-02 09:11:58,56.1667,91.8167,34.21,82,100,6.11
149,Manoel Urbano,BR,2021-12-02 09:11:15,-8.8389,-69.2597,69.91,96,99,2.57
150,Kashima,JP,2021-12-02 09:11:59,33.1061,130.0906,47.91,67,100,0.38
151,Benidorm,ES,2021-12-02 09:12:00,38.5382,-0.131,56.41,49,100,7.09
152,Salinopolis,BR,2021-12-02 09:12:01,-0.6136,-47.3561,78.8,84,95,8.01
153,Atar,MR,2021-12-02 09:12:01,20.5169,-13.0499,71.19,15,100,11.83
154,Codrington,AU,2021-12-02 09:12:02,-38.2667,141.9667,56.82,70,32,16.93
155,Barentu,ER,2021-12-02 09:12:02,15.1139,37.5928,86.23,22,0,3.38
156,Luwuk,ID,2021-12-02 09:12:03,-0.9516,122.7875,81.21,82,100,1.57
157,Srednekolymsk,RU,2021-12-02 09:12:04,67.45,153.6833,-26.34,98,100,9.84
158,Saldanha,ZA,2021-12-02 09:12:05,-33.0117,17.9442,62.38,65,3,22.7
159,Cairns,AU,2021-12-02 09:12:05,-16.9167,145.7667,85.1,80,75,5.75
160,Poya,NC,2021-12-02 09:12:06,-21.35,165.15,80.38,78,66,5.32
161,Lubumbashi,CD,2021-12-02 09:12:07,-11.6609,27.4794,83.52,42,76,5.77
