City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
416,Palu,ID,-0.8917,119.8707,84.54,76,88,2.04,overcast clouds
417,Ilulissat,GL,69.2167,-51.1,33.82,55,100,35.68,overcast clouds
418,Minakuchi,JP,34.9667,136.1667,47.25,63,23,7.25,few clouds
419,Ortigueira,BR,-24.2083,-50.9494,71.26,54,43,2.24,scattered clouds
420,Kaeo,NZ,-35.1,173.7833,74.32,80,42,10.22,scattered clouds
421,Sao Filipe,CV,14.8961,-24.4956,76.05,73,100,9.04,overcast clouds
422,Normandin,CA,48.8333,-72.5321,8.91,78,100,3.44,overcast clouds
423,Leh,IN,34.1667,77.5833,15.73,71,99,2.44,overcast clouds
424,Camacha,PT,33.0833,-16.3333,62.02,59,75,16.11,broken clouds
425,Mandalgovi,MN,45.7625,106.2708,23.36,37,0,14.7,clear sky
426,Bajil,YE,15.0584,43.2851,77.22,58,0,3.94,clear sky
427,Arlit,NE,18.7369,7.3853,68.52,18,5,7.11,clear sky
428,Asau,RO,46.4333,26.4,29.95,80,100,4.54,overcast clouds
429,Svetlogorsk,BY,52.6333,29.7333,29.5,87,100,7.87,overcast clouds
430,Hoi An,VN,15.8794,108.335,67.96,76,100,9.89,overcast clouds
431,Mount Isa,AU,-20.7333,139.5,98.37,22,5,12.66,clear sky
432,Innisfail,AU,-17.5333,146.0333,89.87,54,5,12.44,clear sky
433,Lensk,RU,60.7253,114.9278,20.82,91,100,14.0,light snow
434,Ozernovskiy,RU,51.5,156.5167,32.05,69,100,23.91,light snow
435,Udon Thani,TH,17.3333,102.8333,55.02,93,18,3.44,few clouds
436,Kharitonovo,RU,61.4009,47.4978,4.55,93,100,8.93,overcast clouds
437,Fenoarivo,MG,-18.933,47.4354,60.87,88,40,8.05,scattered clouds
438,Srednekolymsk,RU,67.45,153.6833,-43.49,100,56,1.19,broken clouds
439,Kharp,RU,66.8014,65.8081,-22.76,95,10,2.33,clear sky
440,Jacmel,HT,18.2342,-72.5347,82.24,79,41,3.62,scattered clouds
441,Lillooet,CA,50.6856,-121.942,32.76,86,99,2.53,overcast clouds
442,Svetlograd,RU,45.3353,42.8547,46.38,52,100,6.15,overcast clouds
443,Batagay-Alyta,RU,67.8006,130.4114,-23.75,99,100,2.21,overcast clouds
444,Malinovoye Ozero,RU,51.6753,79.7825,23.92,93,95,4.47,overcast clouds
445,Ulundi,ZA,-28.3352,31.4162,68.41,98,100,1.05,light rain
