City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
111,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
113,Kavaratti,IN,80.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Geraldton,AU,86.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
123,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
124,Kupang,ID,79.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
126,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
127,Gizo,SB,83.77,light rain,-8.103,156.8419,Imagination Island
128,Ambilobe,MG,75.06,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
130,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
131,Lorengau,PG,82.71,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
139,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
141,Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Morondava,MG,78.71,scattered clouds,-20.2833,44.2833,La Case Bambou
158,Sibolga,ID,77.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
160,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
161,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
162,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
163,Hervey Bay,AU,80.71,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
166,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
174,Kirakira,SB,84.58,scattered clouds,-10.4544,161.9205,SanBiz Lodge
182,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
187,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,Hotel Plaza Providencia
189,Meulaboh,ID,76.53,broken clouds,4.1363,96.1285,Kost Pria
196,Christchurch,NZ,81.03,broken clouds,-43.5333,172.6333,The George
201,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
